CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub,Time,PreEntries,NadirEntries,LatestEntries,Diff1,DiffPct1,Diff2,DiffPct2
625.0,M,Delancey St / Essex St,J M Z F,40.71838,-73.987813,1.0,05:00:00-09:00:00,4949.609756097561,354.75,822.0,-4594.859756097561,-0.9283276828919748,467.25,1.317124735729387
404.0,M,28 St,6,40.74307,-73.984264,1.0,05:00:00-09:00:00,2258.317073170732,189.0,305.5,-2069.317073170732,-0.916309360521001,116.5,0.6164021164021164
396.0,M,96 St,6,40.785672,-73.95107,0.0,05:00:00-09:00:00,3177.9268292682927,309.0,531.0,-2868.9268292682927,-0.9027667984189723,222.0,0.7184466019417476
416.0,Bx,Wakefield - 241 St,2,40.903125,-73.85062,0.0,05:00:00-09:00:00,1759.878048780488,360.75,565.75,-1399.128048780488,-0.7950142055297623,205.0,0.5682605682605683
371.0,Bx,Hunts Point Av,6,40.820948,-73.890549,0.0,05:00:00-09:00:00,3540.829268292683,627.25,1220.5,-2913.579268292683,-0.8228522324934217,593.25,0.9457951375049821
456.0,Q,Woodside - 61 St,7,40.74563,-73.902984,0.0,05:00:00-09:00:00,5866.325,405.5,1688.0,-5460.825,-0.9308766561688961,1282.5,3.1627620221948214
43.0,Bk,Parkside Av,B Q,40.655292,-73.961495,0.0,05:00:00-09:00:00,2388.325,301.75,602.5,-2086.575,-0.8736562235039201,300.75,0.9966859983429992
47.0,Bk,Newkirk Plaza,B Q,40.635082,-73.962793,0.0,05:00:00-09:00:00,4109.365853658536,388.5,1048.5,-3720.8658536585363,-0.9054598656252225,660.0,1.6988416988416988
52.0,Bk,Avenue U,B Q,40.5993,-73.955929,0.0,05:00:00-09:00:00,2838.0731707317073,202.25,857.25,-2635.8231707317073,-0.9287368620070299,655.0,3.238566131025958
58.0,Bk,Coney Island - Stillwell Av,D F N Q,40.577422,-73.981233,0.0,05:00:00-09:00:00,3509.9268292682927,573.25,1312.0,-2936.6768292682927,-0.8366775070010493,738.75,1.2887047535979066
138.0,Bk,Canarsie - Rockaway Pkwy,L,40.646654,-73.90185,0.0,05:00:00-09:00:00,5243.525,195.75,1158.5,-5047.775,-0.9626682432142499,962.75,4.918263090676883
181.0,Bk,Utica Av,A C,40.679364,-73.930729,0.0,05:00:00-09:00:00,5482.292682926829,585.75,951.5,-4896.542682926829,-0.8931560144856612,365.75,0.6244131455399061
215.0,Bx,Tremont Av,B D,40.85041,-73.905227,0.0,05:00:00-09:00:00,4204.205128205128,661.25,1452.25,-3542.955128205128,-0.8427169988534068,791.0,1.196219281663516
212.0,Bx,Kingsbridge Rd,B D,40.866978,-73.893509,0.0,05:00:00-09:00:00,3451.1951219512193,523.75,1229.5,-2927.4451219512193,-0.8482409769680351,705.75,1.3474940334128878
211.0,Bx,Bedford Park Blvd,B D,40.873244,-73.887138,0.0,05:00:00-09:00:00,3070.0731707317073,443.25,1006.75,-2626.8231707317073,-0.855622333621984,563.5,1.2712915961646927
210.0,Bx,Norwood - 205 St,D,40.874811,-73.878855,0.0,05:00:00-09:00:00,3751.487804878049,547.75,1336.25,-3203.737804878049,-0.8539912620033677,788.5,1.439525330899133
259.0,Q,Kew Gardens - Union Tpke,E F,40.714441,-73.831008,0.0,06:30:00-10:30:00,11304.170731707318,652.75,2583.0,-10651.420731707318,-0.9422558261466197,1930.25,2.9571045576407506
307.0,M,116 St - Columbia University,1,40.807722,-73.96411,0.0,05:00:00-09:00:00,1063.219512195122,86.0,114.5,-977.219512195122,-0.9191135988254726,28.5,0.3313953488372093
407.0,M,Astor Pl,6,40.730054,-73.99107,1.0,05:00:00-09:00:00,2783.0,70.25,187.5,-2712.75,-0.9747574559827524,117.25,1.6690391459074734
381.0,Bx,Kingsbridge Rd,4,40.86776,-73.897174,0.0,05:00:00-09:00:00,3026.5853658536585,594.5,1146.75,-2432.0853658536585,-0.803574018857281,552.25,0.9289318755256518
